               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01528,            0.013229,           0.0030935,             0.97502,             0.91623,             0.94232,             0.83837,           0.0089606,           0.0091562,          0.00065671,            0.070019,           0.0033312,           0.0033312
                   1,            0.014473,            0.011431,           0.0025471,             0.98244,             0.96238,             0.97883,             0.83353,            0.010704,           0.0078433,           0.0012275,            0.039953,           0.0065985,           0.0065985
                   2,            0.017318,            0.011897,           0.0036127,             0.99078,             0.97606,             0.98838,             0.79362,            0.013059,           0.0076516,          0.00097058,           0.0098213,           0.0097999,           0.0097999
                   3,            0.018574,            0.011866,           0.0035749,             0.95291,             0.93805,             0.96227,             0.79685,            0.012579,           0.0096395,           0.0016441,            0.009703,            0.009703,            0.009703
                   4,            0.017049,            0.011947,           0.0032031,             0.97585,             0.99375,             0.99433,             0.84152,              0.0115,           0.0075983,          0.00068208,            0.009703,            0.009703,            0.009703
                   5,            0.017322,            0.011824,           0.0037104,             0.99135,             0.96938,             0.99407,             0.85876,            0.010234,           0.0073361,          0.00090492,            0.009604,            0.009604,            0.009604
                   6,            0.016755,            0.011565,           0.0031092,             0.98452,             0.96701,             0.99218,             0.83227,            0.010364,           0.0073974,          0.00074838,            0.009505,            0.009505,            0.009505
                   7,            0.016305,            0.011545,           0.0032351,             0.97924,             0.98299,             0.99107,             0.83978,            0.010231,           0.0072174,           0.0012341,            0.009406,            0.009406,            0.009406
                   8,            0.016864,            0.011127,           0.0036908,             0.98753,             0.96599,             0.97989,             0.83665,            0.011338,           0.0076705,          0.00091496,            0.009307,            0.009307,            0.009307
                   9,            0.016081,            0.011252,           0.0034921,             0.99284,             0.98692,               0.995,             0.87395,           0.0092076,           0.0071737,          0.00065993,            0.009208,            0.009208,            0.009208
                  10,            0.016519,            0.011482,           0.0032465,              0.9886,               0.972,             0.98649,             0.87147,           0.0088859,           0.0071121,           0.0010859,            0.009109,            0.009109,            0.009109
                  11,            0.015661,            0.011267,           0.0032462,             0.99151,             0.96548,             0.98952,             0.88541,           0.0099631,           0.0072204,          0.00075031,             0.00901,             0.00901,             0.00901
                  12,            0.015744,            0.011267,           0.0032672,             0.97563,             0.99087,             0.99407,              0.8806,            0.009019,           0.0068564,          0.00065695,            0.008911,            0.008911,            0.008911
                  13,            0.016207,            0.010829,           0.0034416,             0.99108,             0.96807,             0.98555,             0.88832,           0.0084691,           0.0071881,           0.0011271,            0.008812,            0.008812,            0.008812
                  14,            0.015937,            0.010784,           0.0033911,             0.97983,             0.98474,             0.99429,             0.85876,           0.0095236,           0.0069719,           0.0010591,            0.008713,            0.008713,            0.008713
                  15,            0.015434,            0.010706,              0.0034,             0.98312,             0.96599,             0.98323,             0.86858,           0.0090455,           0.0072664,          0.00091886,            0.008614,            0.008614,            0.008614
                  16,            0.015547,            0.011209,           0.0035664,             0.98256,             0.98513,             0.99433,             0.89507,           0.0081237,           0.0065544,           0.0012662,            0.008515,            0.008515,            0.008515
                  17,            0.015684,            0.011142,           0.0031722,              0.9771,             0.98562,             0.99407,             0.87188,           0.0098126,           0.0069809,           0.0014552,            0.008416,            0.008416,            0.008416
                  18,            0.015418,            0.010895,           0.0032845,             0.98997,             0.98043,             0.99211,             0.87057,           0.0089997,           0.0068605,          0.00082628,            0.008317,            0.008317,            0.008317
                  19,            0.014873,            0.010683,           0.0033981,             0.98484,             0.96967,             0.99349,             0.89098,           0.0084926,           0.0066085,          0.00098508,            0.008218,            0.008218,            0.008218
                  20,            0.014907,            0.010637,           0.0033414,             0.99117,             0.97316,             0.99429,             0.87051,           0.0088134,           0.0067549,          0.00087676,            0.008119,            0.008119,            0.008119
                  21,            0.015483,            0.011082,           0.0038882,              0.9741,             0.99327,             0.99433,             0.88671,           0.0081209,           0.0067267,          0.00089122,             0.00802,             0.00802,             0.00802
                  22,            0.014779,            0.010597,           0.0035369,             0.99015,             0.98643,             0.99474,             0.87209,           0.0098977,           0.0067889,          0.00071279,            0.007921,            0.007921,            0.007921
                  23,             0.01523,            0.010633,            0.003292,             0.99238,              0.9736,             0.99384,             0.88686,           0.0088102,           0.0065038,          0.00090656,            0.007822,            0.007822,            0.007822
                  24,            0.014848,            0.010345,           0.0030219,             0.97774,             0.98661,             0.99342,             0.87083,           0.0091211,           0.0065896,          0.00091127,            0.007723,            0.007723,            0.007723
                  25,             0.01435,            0.010473,           0.0030104,             0.98639,             0.98228,             0.98968,             0.88683,           0.0084056,           0.0066675,          0.00080299,            0.007624,            0.007624,            0.007624
                  26,            0.014954,            0.010729,           0.0029327,             0.97864,             0.98736,             0.99384,             0.88173,            0.008509,           0.0064935,          0.00070444,            0.007525,            0.007525,            0.007525
                  27,            0.015101,             0.01034,           0.0029857,             0.99348,             0.99191,               0.995,             0.88096,           0.0089039,           0.0066333,          0.00070243,            0.007426,            0.007426,            0.007426
                  28,            0.014355,            0.010543,            0.003038,             0.99072,             0.97703,             0.99018,             0.89698,           0.0080112,           0.0065665,          0.00081088,            0.007327,            0.007327,            0.007327
                  29,            0.014252,            0.010307,           0.0029568,              0.9914,             0.97632,              0.9945,             0.87871,           0.0092801,           0.0069441,          0.00080012,            0.007228,            0.007228,            0.007228
                  30,            0.014242,            0.010414,           0.0026856,             0.99387,             0.98441,               0.995,              0.8812,             0.00904,           0.0064519,           0.0007964,            0.007129,            0.007129,            0.007129
                  31,             0.01459,            0.010426,           0.0028891,             0.99425,             0.98615,             0.99429,             0.89648,           0.0078944,            0.006442,           0.0006813,             0.00703,             0.00703,             0.00703
                  32,            0.014112,            0.010447,           0.0029237,             0.98278,             0.98082,             0.99317,             0.88815,           0.0081016,           0.0066689,          0.00098229,            0.006931,            0.006931,            0.006931
                  33,            0.013775,           0.0096923,           0.0028559,             0.99043,             0.99229,               0.995,             0.88677,           0.0080167,            0.006555,          0.00066717,            0.006832,            0.006832,            0.006832
                  34,            0.013874,            0.010206,           0.0033315,             0.97651,             0.98945,             0.99433,             0.86698,           0.0088179,           0.0067081,           0.0010325,            0.006733,            0.006733,            0.006733
                  35,            0.014096,            0.010602,           0.0031563,             0.99271,             0.98592,             0.99001,             0.88828,            0.008137,           0.0064366,          0.00081605,            0.006634,            0.006634,            0.006634
                  36,            0.013607,             0.01001,           0.0029267,             0.99374,             0.98321,             0.99474,             0.89547,            0.007675,           0.0063167,          0.00068386,            0.006535,            0.006535,            0.006535
                  37,            0.014082,            0.010181,           0.0024581,             0.99408,             0.98938,               0.995,             0.88466,            0.008071,           0.0065255,          0.00076254,            0.006436,            0.006436,            0.006436
                  38,            0.013782,            0.010305,           0.0026616,             0.98376,              0.9932,             0.98904,             0.88973,           0.0077209,           0.0064342,          0.00066574,            0.006337,            0.006337,            0.006337
                  39,            0.013381,           0.0098313,            0.002624,             0.99315,             0.98464,             0.99041,             0.91745,           0.0070568,           0.0061795,          0.00069612,            0.006238,            0.006238,            0.006238
                  40,            0.013109,           0.0098704,           0.0026213,             0.99232,             0.98575,             0.98969,             0.89887,           0.0081993,           0.0062443,          0.00062845,            0.006139,            0.006139,            0.006139
                  41,            0.013735,            0.010104,           0.0026052,             0.99447,             0.98729,               0.995,             0.91521,           0.0072437,           0.0060893,          0.00056263,             0.00604,             0.00604,             0.00604
                  42,            0.013606,            0.010445,           0.0028965,              0.9922,             0.98936,             0.98969,             0.90324,           0.0080434,           0.0064565,          0.00066498,            0.005941,            0.005941,            0.005941
                  43,            0.013443,           0.0097348,           0.0023621,             0.99271,             0.98479,             0.99017,             0.90722,           0.0075803,           0.0061615,           0.0010601,            0.005842,            0.005842,            0.005842
                  44,            0.013122,           0.0097128,           0.0023644,             0.99415,             0.98727,             0.99184,             0.89715,            0.007669,           0.0061723,          0.00068422,            0.005743,            0.005743,            0.005743
                  45,            0.013128,           0.0095738,           0.0028702,             0.97645,             0.99058,             0.99433,             0.88902,           0.0085088,           0.0063372,          0.00080166,            0.005644,            0.005644,            0.005644
                  46,            0.012665,           0.0095754,           0.0024381,             0.99474,              0.9817,             0.98974,             0.90491,           0.0073584,           0.0062939,          0.00080559,            0.005545,            0.005545,            0.005545
                  47,            0.012538,           0.0096566,           0.0022822,             0.99144,             0.98733,             0.99474,             0.89833,           0.0076662,           0.0063564,          0.00064634,            0.005446,            0.005446,            0.005446
                  48,            0.013011,           0.0099984,           0.0028862,             0.98921,             0.98479,              0.9945,             0.90273,           0.0072853,           0.0063301,          0.00070185,            0.005347,            0.005347,            0.005347
                  49,            0.013097,           0.0096288,           0.0026889,             0.98654,             0.99075,               0.995,             0.91499,           0.0071699,           0.0061752,          0.00058151,            0.005248,            0.005248,            0.005248
                  50,            0.012821,            0.010112,           0.0027398,             0.99455,             0.98894,               0.995,             0.90979,           0.0076618,           0.0059179,          0.00054823,            0.005149,            0.005149,            0.005149
                  51,            0.012469,           0.0093184,            0.002305,             0.98273,             0.98544,             0.98904,               0.884,           0.0082349,           0.0064818,           0.0006033,             0.00505,             0.00505,             0.00505
                  52,            0.013105,           0.0099879,           0.0026892,             0.97809,             0.99087,             0.99433,             0.89813,           0.0076988,            0.006069,          0.00062335,            0.004951,            0.004951,            0.004951
                  53,            0.012882,             0.01019,           0.0028415,             0.99187,             0.98173,             0.98973,             0.91191,            0.007209,           0.0062703,           0.0012828,            0.004852,            0.004852,            0.004852
