Edge TPU Compiler version 16.0.384591198
Input: best-int8.tflite
Output: ./best-int8_edgetpu.tflite

Operator                       Count      Status

MUL                            75         Mapped to Edge TPU
QUANTIZE                       6          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONV_2D                        60         Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  16         Mapped to Edge TPU
RESHAPE                        5          Mapped to Edge TPU
RESHAPE                        1          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  9          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
